instrument,datetime,$open,$high,$low,$close,$volume,$vwap,$change,$factor
SH600161,2020-01-02,12.540698,12.6753025,12.293886,12.500317,19489472.0,,-0.0028604441,0.5384192
SH600161,2020-01-03,12.473396,12.585548,12.446474,12.495794,8890582.0,,-0.0003617798,0.5384192
SH600161,2020-01-06,12.491325,12.585548,12.069582,12.168274,19071252.0,,-0.02621042,0.5384192
SH600161,2020-01-07,12.186204,12.594541,12.186204,12.527239,15414003.0,,0.029500047,0.5384192
SH600161,2020-01-08,12.370181,12.370181,12.361189,12.370181,9819626.0,,-0.012537297,0.5384192
SH600161,2020-01-09,12.509254,12.563096,12.365711,12.450944,10866818.0,,0.006528828,0.5384192
SH600161,2020-01-10,12.509254,12.554158,12.383641,12.473396,7954360.0,,0.0018032681,0.5384192
SH600161,2020-01-13,12.648381,12.648381,12.648381,12.648381,12339714.0,,0.014028712,0.5384192
SH600161,2020-01-14,12.648381,12.648381,12.648381,12.648381,12817045.0,,0.0,0.5384192
SH600161,2020-01-15,12.666311,12.823368,12.621461,12.67078,7676095.0,,0.0017708911,0.5384192
SH600161,2020-01-16,12.715684,12.715684,12.473395,12.572088,8303549.0,,-0.007789008,0.5384192
SH600161,2020-01-17,12.549636,13.088056,12.509254,13.034213,17781276.0,,0.03675804,0.5384192
SH600161,2020-01-20,13.505329,13.846364,13.061134,13.47394,33131420.0,,0.033736322,0.5384192
SH600161,2020-01-21,13.693777,14.218736,13.630997,14.218736,48610160.0,,0.055276785,0.5384192
SH600161,2020-01-22,14.38026,14.407182,13.559172,13.720696,31328740.0,,-0.035026945,0.5384192
SH600161,2020-01-23,13.895684,14.411705,13.752142,14.052741,36885920.0,,0.024200259,0.5384192
SH600161,2020-02-03,15.160969,15.160969,12.742605,13.954048,53597220.0,,-0.007023029,0.5384192
SH600161,2020-02-04,13.909143,14.052741,13.415629,13.787999,42441596.0,,-0.011899698,0.5384192
SH600161,2020-02-05,14.272578,15.165492,14.021351,14.954593,73218664.0,,0.08460934,0.5384192
SH600161,2020-02-06,15.255192,16.448706,15.030887,16.448706,83417700.0,,0.09990994,0.5384192
SH600161,2020-02-07,16.596771,16.955734,15.084729,15.757752,76595780.0,,-0.042006496,0.5384192
SH600161,2020-02-10,15.973121,16.789686,15.793612,16.444237,61963284.0,,0.043564882,0.5384192
SH600161,2020-02-11,16.107725,16.305109,15.389796,15.910286,37193252.0,,-0.032470424,0.5384192
SH600161,2020-02-12,16.06282,16.318571,15.771214,16.175028,26759282.0,,0.016639661,0.5384192
SH600161,2020-02-13,16.175028,16.502548,15.793612,16.058353,36264344.0,,-0.0072132978,0.5384192
SH600161,2020-02-14,17.66462,17.66462,17.449251,17.66462,86037736.0,,0.100026846,0.5384192
SH600161,2020-02-17,16.646145,17.126198,16.188488,16.892902,77772550.0,,-0.043687176,0.5384192
SH600161,2020-02-18,16.673065,16.673065,16.053883,16.224346,54741284.0,,-0.03957607,0.5384192
SH600161,2020-02-19,16.264729,16.264729,15.484021,15.493012,47154212.0,,-0.045076385,0.5384192
SH600161,2020-02-20,15.502004,15.860913,15.4167185,15.75323,33236728.0,,0.016795853,0.5384192
SH600161,2020-02-21,15.829524,15.919279,15.573775,15.865437,25486666.0,,0.0071227555,0.5384192
SH600161,2020-02-24,16.013502,16.282711,15.793611,15.896826,28301858.0,,0.0019784593,0.5384192
SH600161,2020-02-25,15.703912,16.28718,15.605165,16.148108,40524536.0,,0.015806967,0.5384192
SH600161,2020-02-26,16.06282,16.06282,15.524402,15.524402,31156216.0,,-0.038624056,0.5384192
SH600161,2020-02-27,15.434701,15.9641285,15.434701,15.614156,14581871.0,,0.0057815467,0.5384192
SH600161,2020-02-28,15.300097,15.919279,15.286636,15.537863,26011280.0,,-0.0048862007,0.5384192
SH600161,2020-03-02,15.484021,15.766691,15.389797,15.703911,21591876.0,,0.010686731,0.5384192
SH600161,2020-03-03,15.838516,16.305109,15.672467,15.905818,44497450.0,,0.012857112,0.5384192
SH600161,2020-03-04,15.910286,16.188488,15.703911,15.910286,28761088.0,,0.0002808941,0.5384192
SH600161,2020-03-05,16.07628,16.152575,15.748761,15.896826,23950808.0,,-0.00084600114,0.5384192
SH600161,2020-03-06,15.793612,16.031431,15.659007,15.690452,25436668.0,,-0.012982138,0.5384192
SH600161,2020-03-09,15.591704,15.730832,15.14304,15.165492,28993880.0,,-0.033457235,0.5384192
SH600161,2020-03-10,14.985983,15.331487,14.671923,15.223803,41079284.0,,0.003844939,0.5384192
SH600161,2020-03-11,15.327018,15.4885435,15.035356,15.035356,16122692.0,,-0.012378434,0.5384192
SH600161,2020-03-12,14.990505,14.990505,14.425166,14.613613,19945814.0,,-0.028050078,0.5384192
SH600161,2020-03-13,13.909144,14.743694,13.792522,14.429634,19908488.0,,-0.012589562,0.5384192
SH600161,2020-03-16,14.532848,14.878299,13.931596,13.9988985,21183566.0,,-0.029850734,0.5384192
SH600161,2020-03-17,14.178353,15.223803,13.913667,15.1565,40853428.0,,0.0826923,0.5384192
SH600161,2020-03-18,15.349417,15.829524,15.286636,15.304565,35279348.0,,0.009769105,0.5384192
SH600161,2020-03-19,15.152032,15.434701,13.913667,14.523858,30393380.0,,-0.051011417,0.5384192
SH600161,2020-03-20,14.627072,15.730831,14.443095,15.694919,33506990.0,,0.08063018,0.5384192
SH600161,2020-03-23,15.318026,15.838515,15.165491,15.546854,29093124.0,,-0.009433973,0.5384192
SH600161,2020-03-24,15.502004,15.771214,15.255192,15.43917,22009042.0,,-0.0069264206,0.5384192
SH600161,2020-03-25,15.524402,16.219877,15.331486,16.157043,31430414.0,,0.046496984,0.5384192
SH600161,2020-03-26,15.928216,16.466635,15.928216,16.309631,29657320.0,,0.009444042,0.5384192
SH600161,2020-03-27,16.412792,16.435246,15.851975,15.874373,20247112.0,,-0.026687209,0.5384192
SH600161,2020-03-30,15.816063,16.058352,15.479551,15.685927,15306825.0,,-0.01187107,0.5384192
SH600161,2020-03-31,15.793612,16.399334,15.726309,16.323093,19516022.0,,0.0406202,0.5384192
SH600161,2020-04-01,16.197426,16.55192,15.8878355,16.103203,18067566.0,,-0.013471127,0.5384192
SH600161,2020-04-02,16.017971,16.143583,15.703911,16.000042,17362508.0,,-0.006406284,0.5384192
SH600161,2020-04-03,16.000042,16.58778,15.950668,16.017971,17106062.0,,0.0011206239,0.5384192
SH600161,2020-04-07,16.148106,16.677534,16.040422,16.367943,26471924.0,,0.02184867,0.5384192
SH600161,2020-04-08,16.24233,16.394865,16.053883,16.350014,15935173.0,,-0.0010953728,0.5384192
SH600161,2020-04-09,16.358952,17.1262,16.291649,16.996117,32451736.0,,0.039516985,0.5384192
SH600161,2020-04-10,16.955734,17.355026,16.399332,16.471157,31171920.0,,-0.030887002,0.5384192
SH600161,2020-04-13,16.51154,16.915354,16.197426,16.592302,16188407.0,,0.0073549896,0.5384192
SH600161,2020-04-14,16.60124,16.60124,15.479551,16.197426,47053624.0,,-0.023798816,0.5384192
SH600161,2020-04-15,16.215408,16.53846,15.914756,16.085274,20293178.0,,-0.0069241207,0.5384192
SH600161,2020-04-16,16.058352,16.735844,15.896826,16.33203,28530860.0,,0.015340568,0.5384192
SH600161,2020-04-17,16.197426,16.323093,15.569306,15.609688,40291028.0,,-0.04422859,0.5384192
SH600161,2020-04-20,15.560314,15.811594,15.443639,15.636609,17929310.0,,0.0017246514,0.5384192
SH600161,2020-04-21,15.667998,15.833993,15.246254,15.358407,17995396.0,,-0.017791701,0.5384192
SH600161,2020-04-22,15.219334,15.506473,15.075737,15.448162,20583574.0,,0.005844034,0.5384192
SH600161,2020-04-23,15.537862,16.017971,15.537862,15.730831,21312186.0,,0.018297952,0.5384192
SH600161,2020-04-24,15.618626,15.703911,15.1565,15.1565,17290232.0,,-0.036509942,0.5384192
SH600161,2020-04-27,15.255192,15.973121,14.914212,15.484021,36517090.0,,0.021609278,0.5384192
SH600161,2020-04-28,15.591703,15.887835,15.13857,15.676989,24113290.0,,0.012462406,0.5384192
SH600161,2020-04-29,15.659006,15.838515,15.434701,15.502004,12537882.0,,-0.011161945,0.5384192
SH600161,2020-04-30,15.497481,15.609688,15.210342,15.291105,19104270.0,,-0.013604577,0.5384192
SH600161,2020-05-06,15.255192,15.466091,15.044347,15.466091,13308523.0,,0.011443625,0.5384192
SH600161,2020-05-07,15.389797,15.919278,15.291104,15.919278,25246502.0,,0.02930201,0.5384192
SH600161,2020-05-08,15.919278,16.06282,15.712849,15.757752,17201998.0,,-0.010146538,0.5384192
SH600161,2020-05-11,15.793612,15.883367,15.39432,15.421242,18619830.0,,-0.02135528,0.5384192
SH600161,2020-05-12,15.479551,15.636609,15.291104,15.542385,12048963.0,,0.007855603,0.5384192
SH600161,2020-05-13,15.506472,15.825055,15.313557,15.641076,22209576.0,,0.006349848,0.5384192
SH600161,2020-05-14,15.587235,15.816063,15.4167185,15.605164,13204864.0,,-0.0022960382,0.5384192
SH600161,2020-05-15,15.605165,15.838516,15.380859,15.448162,16777276.0,,-0.010060911,0.5384192
SH600161,2020-05-18,15.569306,15.690451,15.20135,15.564784,22378152.0,,0.007549235,0.5384192
SH600161,2020-05-19,15.681458,16.848051,15.582767,16.677534,59610730.0,,0.07149158,0.5384192
SH600161,2020-05-20,16.556389,16.996117,16.421785,16.637152,41332770.0,,-0.0024213663,0.5384192
SH600161,2020-05-21,16.704456,16.892902,16.421785,16.49808,26954844.0,,-0.008359131,0.5384192
